,Users,Comments,labels
0,@carmenlem55,prayer recovery,1.0
1,@patrachlis6549,sad evil people live among u heart go victim family especially mother since mother heartbreaking hear injury suffer deeply tragic moment occur must end,1.0
2,@thezardzone6557,guy n't even new england move less year ago vermont one coolest state people good hearted love outsider new hampshire take ride dartmouth believe new england n't diverse please dont judge part country one person action,1.0
3,@mikasjewels5772,evil pray full recovery,1.0
4,@dvb9075,tragic,-1.0
5,@SadaK-tr6dm,palestinian woman child hold hostage israel year civilian still hold israel without trial year israel sanction,0.0
6,@3_2_1,like american believe something undo something overseas ability come smart resolution match ability sense reason dont shoot palestinians jewish people side world may young souls rest peace,0.0
7,@rachelkristine4669,poor kid sorry,1.0
8,@SteveStevens-uv2px,terrible much violence bear religion,-1.0
9,@fatimazahraahmed521,wish recover soon freepalestine freegaza,1.0
10,@lastChang,china violent crime usually commit state individual victim violence thousand example tibetan tibet uyghurs xinjiang tiananmen square,0.0
11,@freedom.1313,thank show,1.0
12,@SadaK-tr6dm,israeli declare terrorist still,-1.0
13,@billg5522,see much coverage incident even half coverage man lose life california november medium n't bias right,0.0
14,@skeyefold,know last day critical time hard deal men lover lover money boastful haughty blasphemer disobedient parent thankful disloyal natural affection open agreement slander without selfcontrol fierce without love goodnessbetrayers headstrong puffed pride lover pleasures rather lover god appearance godliness prove false power turn away,1.0
15,@qayyaracenter9357,report say traditional scarf,0.0
16,@aislinnkeilah7361,good detail totally unprovoked attack devastate young men family,1.0
17,@nkkn2898,many comment talk jewish israeli affect take side one deserve kill harmed matter religion race free israel palestine hatred towards world living,-1.0
18,@heidiweber2295,mankind need wonderful human being like jimmy carter roan carter,1.0
19,@raulelenes4194,every time come across true humanitarian people belief lucky without doubt rosary carter one people world truly need husband jimmy epitome good christian folk deserve true respect admiration,1.0
20,@ATAHUALPA867,deepest sympathy carter family nation,1.0
21,@timb350,much darknessthis real example best america,1.0
22,@jimhughes8374,real woman real american,0.0
23,@aislinnkeilah7361,lovely gracious lady may rest peace nice tribute military honor guard former first lady,1.0
24,@kisha1682,yeah still miss grandma pass away june time go fast,0.0
25,@sandyjohnson3183,lovely woman,1.0
26,@hgfku-tn6hb,rest peace rosary resting almighty,1.0
27,@user-xq3wu7ty9h,god jesus always bless kevin,1.0
28,@bxb590,michelle obama handle funeral service grace dignity would expect nothing le,1.0
29,@elnurquliyev7865,war start october thousand peaceful palestinian kill result genocide ethnic cleansing commit occupy israeli army hundred innocent palestinian arrest tortured israeli prime minister later admit number dead israeli small,-1.0
30,@user-xq3wu7ty9h,grandmother still alive,1.0
31,@youtubechannely,dad pain throughout whole rollercoaster absolutely heart wrench uncertainty acceptance relief death finally reunite really hope wrong death well fate hope emily still child ordeal fear loss shes,1.0
32,@rubychurch3466,way big sister tenderly caress tear jerked im glad shes free im sure hostage try best look little one know would,1.0
33,@jamesjameson4303,grown man see lot tragedy life couldnt hold tear may hostages get home safe,1.0
34,@annieberardino8732,thousand mile start incredibly heartbreaking see child looki cant imagine scar know go happen family would see happy family reunite wish best journey forward healing,1.0
35,@jabulanisena6288,father three child love child feel pain thomas,1.0
36,@KiwikimNZ,im happy father obviously adore daughter interview think dead break heart glad horrible experience heart breaking,1.0
37,@angieevert833,thank lord shes safely home pray heal release hostage,1.0
38,@RS-sx1lo,move include concern child hostages even get precious daughter back,1.0
39,@btanirose581,someone find difficult time around anything anyone stress work big crowd kind live inside mind sometimes finding thing love collect rock bike go ocean put mind im enjoy let rest lot take nap want ordeal mentally tire,0.0
40,@pglavalle,follow story start time walk away teary eye extremely hard time tell story wife,0.0
41,@isaac8751,much pain reflect man face hope heal,0.0
42,@Muhdah1972,good hear emily dad proactive talk mental health professional need lot time decompress hope get one one therapy family therapy conceal loss step mother may hostages return soon,0.0
43,@jaminhosack9376,sorry happen emily prayer,1.0
44,@janegallagher6162,god bless beautiful father agonise journey endure endure may get support need,1.0
45,@yenxion6516,om go day felt like year poor girl hope get help recover,0.0
