,Users,Comments,labels
0,@carmenlem55,My prayers for recovery.,1
1,@patrachlis6549,So sad these evil people live among us. My heart goes out to these victims families especially their mothers since I am a mother. Heartbreaking to hear their injuries. We all suffer deeply when these tragic moments occur. It must end,1
2,@thezardzone6557,The guy who did this isn't even a New Englander. He moved here less than a year ago. Vermont is one of the coolest states here and the people are very good hearted and loving of outsiders. New Hampshire is the same. Take a ride up to Dartmouth if you believe New England isn't diverse. Please don't judge this part of the country on one person's actions.,1
3,@mikasjewels5772, so evil. I pray for a full recovery.,1
4,@dvb9075,This is tragic,-1
5,@SadaK-tr6dm,150 Palestinian women and children were held as hostage by Isriael for years and 5000 civilians are still held by Isriael without trial for years. Why should Isriael not be sanctioned?,0
6,@3_2_1,"I have a ""liking"" for Americans who believe they should do something to undo something they do overseas. Their ability to come up with smart resolutions is matched by their ability to have a sense of reason. You don't shoot Palestinians or Jewish people on the other side of the world. May The Young Souls Rest In Peace.",0
7,@rachelkristine4669,That poor kid! Am so sorry! ,1
8,@SteveStevens-uv2px,It's terrible how much violence is born from religion.,-1
9,@fatimazahraahmed521,Wish you recover soon #freepalestine #freegaza,1
11,@lastChang,"In China 🇨🇳, violent crimes are usually committed by the state, not individuals. Victims of violence are by the thousands.
- Examples are: Tibetans in Tibet, Uyghurs in Xinjiang, and Tiananmen Square.",0
14,@freedom.1313,Thank you for showing ,1
15,@SadaK-tr6dm,Why should Isreail not be decliared as a terriorist for what it did and is still doing?,-1
16,@billg5522,"Seen so much coverage of this incident but not even half the coverage of a man that lost his life in California on November 7th.
But the media isn't bias at all right?",0
17,@skeyefold,"But know this, that in the last days critical times hard to deal with will be here. 

For men will be lovers of themselves, lovers of money, boastful, haughty, blasphemers, disobedient to parents, unthankful, disloyal, having no natural affection, not open to any agreement, slanderers, without self-control, fierce, without love of goodness,betrayers, headstrong, puffed up with pride, lovers of pleasures rather than lovers of God, having an appearance of godliness but proving false to its power; and from these turn away.  ",1
18,@qayyaracenter9357,In all report said : traditional scarves ???????,0
19,@aislinnkeilah7361,Not at all good. We have no details. Was this a totally unprovoked attack? Devastating for these young men and their families.,1
20,@nkkn2898,So many comments talking about Jewish and Israel's affected but why do we have to take sides no one deserves to be killed or harmed no matter what religion or race. Free Israel and Palestine from all this hatred towards each other. WHAT WORLD ARE WE LIVING IN.,-1
21,@heidiweber2295,Mankind does need  more such wonderful human beings like Jimmy Carter and Roalyn Carter.,1
22,@raulelenes4194,Every time I come across true humanitarian people it is my belief that we are lucky. Without any doubt Rosalyn Carter is one of those people that our world is truly in need of. She and her husband Jimmy are the epitomes of good Christian Folks. They deserve true respect and admiration.,1
23,@ATAHUALPA867,My deepest sympathy to the Carter family and our nation. ,1
24,@timb350,After so much darkness...this is a real example of the best of America.,1
25,@jimhughes8374,"Real women, real American!",0
26,@aislinnkeilah7361,A lovely and gracious lady. May she rest in peace. Very nice tribute with military honor guard and all the former First Ladies.,1
27,@kisha1682,"Yeah, I still miss my grandma. She passed away in June 2007. Time goes by too fast.",0
28,@sandyjohnson3183,Such a lovely woman,1
29,@hgfku-tn6hb,Rest in peace Rosalyn. You are now resting with ALMIGHTY,1
30,@user-xq3wu7ty9h,God Jesus always bless you Kevin and all,1
31,@bxb590,Michelle Obama handled the funeral service with grace and dignity. I would have expected nothing less.,1
32,@elnurquliyev7865,"In the war that started on October 7, 2023, thousands of peaceful Palestinians were killed as a result of the genocide and ethnic cleansing committed by the occupying Israeli Army. Hundreds of innocent Palestinians were arrested and tortured. The Israeli Prime Minister later admitted that the number of dead Israelis was small",-1
33,@user-xq3wu7ty9h,My grandmother still alive,1
34,@youtubechannely,"This dad's pain throughout the whole rollercoaster has been absolutely heart wrenching. The uncertainty, the acceptance and ""relief"" at her death, then finally being reunited.

I really hope he was wrong about death being the better fate. Hope Emily can still be a child after this ordeal and all the fear and loss she's been through.",1
35,@rubychurch3466,The way her big sister tenderly caressed her was a tear jerker.  I’m so glad she’s free.     I’m sure the other hostages tried their best to look after the little ones.  I know I would have.,1
36,@jamesjameson4303,I am a grown man that has seen a lot of tragedy in life and I couldn't hold my tears. May all the hostages get home safe.,1
37,@annieberardino8732,"That thousand mile stare…it’s so incredibly heartbreaking to see a child with that look…I can’t imagine how scared she was not knowing: where she was , what was going to happen to her, where her family was, if she would see them again.  I am happy the family is reunited, and I wish them all the best on their journey forward to healing  ",1
38,@jabulanisena6288,As a father of three children who loves his children I can feel the pain of Thomas.,1
39,@KiwikimNZ,I’m so happy for this father who obviously adores his daughter. His interview when he thought she was dead broke my heart and I am so glad that this horrible experience is over for the both of them. Heart breaking ,1
40,@angieevert833,Thank the Lord she’s safely home! Praying for her healing and for the release of all the hostages!,1
41,@RS-sx1lo,It is so moving how he includes concern for all children hostages even as he gets his precious daughter back,1
